vmpp,month,concession_bool
18266111000001101,2020-08-01,1
976011000001101,2022-12-01,1
976011000001101,2022-07-01,1
976011000001101,2022-08-01,1
976011000001101,2023-02-01,1
976011000001101,2022-09-01,1
976011000001101,2022-10-01,1
976011000001101,2022-11-01,1
976011000001101,2023-03-01,1
976011000001101,2023-09-01,1
976011000001101,2023-01-01,1
976011000001101,2023-07-01,1
976011000001101,2023-08-01,1
9544811000001102,2019-04-01,1
9544811000001102,2019-05-01,1
9544811000001102,2019-03-01,1
9544811000001102,2019-07-01,1
9544811000001102,2019-06-01,1
9544811000001102,2019-08-01,1
9544811000001102,2019-09-01,1
9544811000001102,2022-12-01,1
9544811000001102,2022-11-01,1
9544811000001102,2022-08-01,1
9544811000001102,2022-09-01,1
9544811000001102,2022-10-01,1
9544811000001102,2023-01-01,1
9544811000001102,2023-02-01,1
4371611000001103,2022-09-01,1
3364211000001107,2023-06-01,1
3364211000001107,2023-05-01,1
16747511000001102,2022-06-01,1
16747511000001102,2022-04-01,1
16747511000001102,2022-05-01,1
16747511000001102,2023-01-01,1
16747511000001102,2022-07-01,1
16747511000001102,2022-08-01,1
16747511000001102,2022-09-01,1
16747511000001102,2022-10-01,1
16747511000001102,2022-12-01,1
16747511000001102,2022-11-01,1
16747511000001102,2023-09-01,1
16747511000001102,2023-06-01,1
16747511000001102,2023-03-01,1
16747511000001102,2023-02-01,1
16747511000001102,2023-05-01,1
16747511000001102,2023-04-01,1
16747511000001102,2023-07-01,1
16747511000001102,2023-08-01,1
1156811000001106,2017-11-01,1
1156811000001106,2017-12-01,1
1156811000001106,2018-01-01,1
1156811000001106,2018-02-01,1
1156811000001106,2017-07-01,1
1156811000001106,2017-08-01,1
1156811000001106,2017-09-01,1
1156811000001106,2017-10-01,1
1156811000001106,2022-03-01,1
1156811000001106,2022-04-01,1
1156811000001106,2022-05-01,1
1156811000001106,2022-06-01,1
1156811000001106,2022-07-01,1
1156811000001106,2022-08-01,1
1156811000001106,2022-09-01,1
22820911000001107,2023-07-01,1
22820911000001107,2023-08-01,1
4028111000001103,2019-04-01,1
4028111000001103,2019-03-01,1
4028111000001103,2019-05-01,1
4028111000001103,2019-06-01,1
4028111000001103,2019-07-01,1
4028111000001103,2019-08-01,1
4028111000001103,2019-09-01,1
4028111000001103,2022-12-01,1
4028111000001103,2022-07-01,1
4028111000001103,2023-03-01,1
4028111000001103,2022-08-01,1
4028111000001103,2022-09-01,1
4028111000001103,2022-10-01,1
4028111000001103,2022-11-01,1
4028111000001103,2023-02-01,1
4028111000001103,2023-01-01,1
1128711000001103,2023-01-01,1
1128711000001103,2022-08-01,1
1128711000001103,2022-09-01,1
1128711000001103,2022-10-01,1
1128711000001103,2022-11-01,1
1128711000001103,2022-12-01,1
1128711000001103,2023-03-01,1
1128711000001103,2023-02-01,1
1128711000001103,2023-09-01,1
1128711000001103,2023-04-01,1
1128711000001103,2023-05-01,1
1128711000001103,2023-06-01,1
1128711000001103,2023-07-01,1
1128711000001103,2023-08-01,1
1273311000001106,2022-06-01,1
1273311000001106,2022-12-01,1
1273311000001106,2022-07-01,1
1273311000001106,2022-08-01,1
1273311000001106,2022-09-01,1
1273311000001106,2022-10-01,1
1273311000001106,2022-11-01,1
1290611000001100,2023-08-01,1
3244711000001100,2015-02-01,1
1140011000001100,2023-08-01,1
1140011000001100,2023-01-01,1
1140011000001100,2023-03-01,1
1140011000001100,2023-02-01,1
1140011000001100,2023-09-01,1
1140011000001100,2023-04-01,1
1140011000001100,2023-06-01,1
1140011000001100,2023-05-01,1
1140011000001100,2023-07-01,1
942311000001101,2022-12-01,1
942311000001101,2023-02-01,1
942311000001101,2023-01-01,1
942311000001101,2023-03-01,1
1020211000001103,2021-09-01,1
1020211000001103,2021-10-01,1
1020211000001103,2021-11-01,1
1020211000001103,2021-12-01,1
1020211000001103,2022-01-01,1
1020211000001103,2022-02-01,1
1256311000001104,2018-06-01,1
1256311000001104,2018-07-01,1
1256311000001104,2018-08-01,1
1256311000001104,2018-09-01,1
1256311000001104,2018-10-01,1
1256311000001104,2018-11-01,1
1256311000001104,2018-12-01,1
1256311000001104,2019-04-01,1
1256311000001104,2019-05-01,1
1256311000001104,2019-02-01,1
1256311000001104,2019-03-01,1
1256311000001104,2019-06-01,1
1256311000001104,2019-07-01,1
1256311000001104,2019-01-01,1
1256311000001104,2020-05-01,1
15454111000001105,2022-01-01,1
15454111000001105,2023-08-01,1
15454111000001105,2023-09-01,1
15454111000001105,2023-07-01,1
15454111000001105,2023-05-01,1
15454111000001105,2023-06-01,1
946211000001105,2014-11-01,1
946211000001105,2019-07-01,1
946211000001105,2019-08-01,1
946211000001105,2019-09-01,1
946211000001105,2019-10-01,1
946211000001105,2019-11-01,1
946211000001105,2019-12-01,1
946211000001105,2022-06-01,1
946211000001105,2021-10-01,1
946211000001105,2022-01-01,1
946211000001105,2022-02-01,1
946211000001105,2022-03-01,1
946211000001105,2022-04-01,1
946211000001105,2022-05-01,1
946211000001105,2022-12-01,1
946211000001105,2022-07-01,1
946211000001105,2022-08-01,1
946211000001105,2023-07-01,1
946211000001105,2022-09-01,1
946211000001105,2022-10-01,1
946211000001105,2022-11-01,1
946211000001105,2023-02-01,1
946211000001105,2023-04-01,1
946211000001105,2023-05-01,1
946211000001105,2023-01-01,1
946211000001105,2023-03-01,1
946211000001105,2023-06-01,1
946211000001105,2023-09-01,1
946211000001105,2023-08-01,1
991811000001105,2018-11-01,1
991811000001105,2022-05-01,1
991811000001105,2022-06-01,1
991811000001105,2022-07-01,1
991811000001105,2022-08-01,1
991811000001105,2023-02-01,1
991811000001105,2022-09-01,1
991811000001105,2022-10-01,1
991811000001105,2022-11-01,1
991811000001105,2022-12-01,1
991811000001105,2023-03-01,1
991811000001105,2023-01-01,1
991811000001105,2023-04-01,1
991811000001105,2023-05-01,1
991811000001105,2023-06-01,1
991811000001105,2023-08-01,1
991811000001105,2023-07-01,1
1049411000001106,2022-06-01,1
1049411000001106,2022-04-01,1
1049411000001106,2022-05-01,1
1049411000001106,2022-12-01,1
1049411000001106,2022-07-01,1
1049411000001106,2022-08-01,1
1049411000001106,2022-09-01,1
1049411000001106,2022-10-01,1
1049411000001106,2022-11-01,1
1049411000001106,2023-07-01,1
1049411000001106,2023-08-01,1
1294611000001107,2022-08-01,1
1294611000001107,2022-09-01,1
1294611000001107,2022-10-01,1
1294611000001107,2022-11-01,1
1294611000001107,2022-12-01,1
1122411000001107,2021-09-01,1
1122411000001107,2021-10-01,1
1122411000001107,2021-11-01,1
20474811000001107,2014-11-01,1
1098411000001107,2020-05-01,1
2858311000001109,2018-12-01,1
2858311000001109,2018-08-01,1
2858311000001109,2018-09-01,1
2858311000001109,2018-10-01,1
2858311000001109,2018-11-01,1
2858311000001109,2019-02-01,1
2858311000001109,2019-03-01,1
2858311000001109,2019-01-01,1
2858311000001109,2022-01-01,1
2858311000001109,2022-02-01,1
2858311000001109,2022-03-01,1
2858311000001109,2022-04-01,1
2858311000001109,2022-05-01,1
2858311000001109,2022-06-01,1
2858311000001109,2022-12-01,1
2858311000001109,2022-11-01,1
2858311000001109,2022-07-01,1
2858311000001109,2022-08-01,1
2858311000001109,2022-09-01,1
2858311000001109,2022-10-01,1
2858311000001109,2023-02-01,1
2858311000001109,2023-03-01,1
2858311000001109,2023-05-01,1
2858311000001109,2023-01-01,1
2858311000001109,2023-04-01,1
2858311000001109,2023-06-01,1
